candidate_id,rank,score,reasoning
CAND_0002025,1,91.0169,"Senior AI Engineer at Apple (10001+ employees, Consumer Electronics industry) based in Trivandrum, Kerala with 5.9 years of experience. Top skills: Deep Learning (expert), NLP (expert), FAISS (expert), Fine-tuning LLMs (advanced), Weaviate (advanced). M.Sc in Data Science from IIIT Bangalore [tier_1 institution]. Previously held roles as Lead AI Engineer. Holds certifications: NLP Specialization. Profile completeness: 82%; saved by 22 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 80%; GitHub activity score: 97/100; interview completion rate: 81%; offer acceptance rate: 46%. Actively open to work; notice period 30 days; prefers flexible work; expected salary 32.5-63.6 lpa."
CAND_0077337,2,91.0125,"Staff Machine Learning Engineer at Paytm (10001+ employees, Fintech industry) based in Kochi, Kerala with 7.0 years of experience. Top skills: LlamaIndex (expert), LLMs (expert), Information Retrieval (expert), RAG (expert), Sentence Transformers (expert). B.Tech in Computer Engineering from Georgia Tech [tier_1 institution]. Previously held roles as Senior NLP Engineer, Senior AI Engineer. Holds certifications: Deep Learning Specialization, NLP Specialization. Profile completeness: 65%; saved by 32 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 95%; GitHub activity score: 68/100; interview completion rate: 73%; offer acceptance rate: 77%. Actively open to work; notice period 60 days; willing to relocate; prefers remote work; expected salary 46.0-51.3 lpa."
CAND_0011687,3,90.0377,"Senior NLP Engineer at Niramai (51-200 employees, HealthTech AI industry) based in Indore, Madhya Pradesh with 7.8 years of experience. Top skills: Semantic Search (advanced), LangChain (expert), Image Classification (advanced), PyTorch (advanced), Embeddings (expert). Ph.D in Artificial Intelligence from IIT Delhi [tier_1 institution]. Previously held roles as Senior Machine Learning Engineer.  Profile completeness: 65%; saved by 27 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 89%; GitHub activity score: 76/100; interview completion rate: 77%; offer acceptance rate: 60%. Actively open to work; notice period 15 days; prefers hybrid work; expected salary 28.7-60.7 lpa."
CAND_0071974,4,89.5576,"Senior AI Engineer at Netflix (10001+ employees, Media industry) based in Vizag, Andhra Pradesh with 7.8 years of experience. Top skills: Speech Recognition (advanced), PEFT (advanced), Qdrant (expert), Embeddings (expert), Machine Learning (advanced). M.Sc in Artificial Intelligence from NIT Warangal [tier_1 institution]. Previously held roles as Staff Machine Learning Engineer. Holds certifications: Google Cloud Professional ML Engineer, NLP Specialization. Profile completeness: 87%; saved by 50 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 76%; GitHub activity score: 83/100; interview completion rate: 85%. Actively open to work; notice period 45 days; prefers onsite work; expected salary 46.7-58.1 lpa."
CAND_0082086,5,89.5573,"Senior Software Engineer (ML) at Razorpay (1001-5000 employees, Fintech industry) based in Delhi, Delhi with 6.0 years of experience. Top skills: FAISS (advanced), Reinforcement Learning (advanced), Feature Engineering (advanced), Pinecone (advanced), Speech Recognition (intermediate). B.Tech in Information Technology from SRM University [tier_2 institution]. Previously held roles as AI Research Engineer.  Profile completeness: 66%; saved by 36 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 85%; GitHub activity score: 83/100; interview completion rate: 69%; offer acceptance rate: 34%. Actively open to work; notice period 45 days; prefers flexible work; expected salary 29.6-52.4 lpa."
CAND_0061265,6,89.556,"Recommendation Systems Engineer at Zoho (10001+ employees, SaaS industry) based in Delhi, Delhi with 6.6 years of experience. Top skills: Hugging Face Transformers (expert), Milvus (expert), QLoRA (expert), Vector Search (advanced), Reinforcement Learning (advanced). B.E. in Data Science from IIT Madras [tier_1 institution]. Previously held roles as Senior Data Scientist.  Profile completeness: 86%; saved by 24 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 94%; GitHub activity score: 80/100; interview completion rate: 57%. Actively open to work; notice period 120 days; prefers hybrid work; expected salary 28.5-40.2 lpa."
CAND_0010603,7,89.3185,"ML Engineer at BYJU'S (10001+ employees, EdTech industry) based in Bangalore, Karnataka with 5.3 years of experience. Top skills: OpenSearch (advanced), Forecasting (advanced), Deep Learning (advanced), Image Classification (advanced), GANs (intermediate). M.E. in Electrical Engineering from Amity University [tier_3 institution]. Previously held roles as Data Scientist.  Profile completeness: 93%; saved by 45 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 94%; GitHub activity score: 79/100; interview completion rate: 64%; offer acceptance rate: 60%. Actively open to work; notice period 90 days; prefers flexible work; expected salary 18.0-32.6 lpa."
CAND_0088025,8,88.8547,"Staff Machine Learning Engineer at Yellow.ai (201-500 employees, AI/ML industry) based in Jaipur, Rajasthan with 8.6 years of experience. Top skills: Elasticsearch (expert), Learning to Rank (expert), RAG (expert), BM25 (expert), Deep Learning (advanced). Ph.D in Data Science from COEP Pune [tier_2 institution]. Previously held roles as Senior Machine Learning Engineer, Staff Machine Learning Engineer.  Profile completeness: 60%; saved by 19 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 83%; GitHub activity score: 75/100; interview completion rate: 95%; offer acceptance rate: 82%. Actively open to work; notice period 90 days; prefers hybrid work; expected salary 38.5-51.3 lpa."
CAND_0018499,9,88.8113,"Senior Machine Learning Engineer at Zomato (5001-10000 employees, Food Delivery industry) based in Noida, Uttar Pradesh with 7.2 years of experience. Top skills: scikit-learn (expert), Recommendation Systems (expert), Learning to Rank (expert), Diffusion Models (advanced), Information Retrieval (advanced). B.Sc in Artificial Intelligence from Massachusetts Institute of Technology [tier_1 institution]. Previously held roles as Senior Machine Learning Engineer, Staff Machine Learning Engineer. Holds certifications: Google Cloud Professional ML Engineer, NLP Specialization. Profile completeness: 98%; saved by 16 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 61%; GitHub activity score: 95/100; interview completion rate: 80%; offer acceptance rate: 75%. Actively open to work; notice period 15 days; willing to relocate; prefers remote work; expected salary 36.8-56.6 lpa."
CAND_0076163,10,88.6202,"NLP Engineer at Ola (5001-10000 employees, Transportation industry) based in Chandigarh, Chandigarh with 6.9 years of experience. Top skills: Python (advanced), Weaviate (advanced), Semantic Search (expert), Prompt Engineering (advanced), Statistical Modeling (advanced). M.Tech in Information Technology from VJTI Mumbai [tier_2 institution]. Previously held roles as NLP Engineer. Holds certifications: Deep Learning Specialization, AWS Certified Machine Learning Specialty. Profile completeness: 90%; saved by 62 recruiters in last 30 days. Behavioral signals — Recruiter response rate: 84%; GitHub activity score: 85/100; interview completion rate: 72%; offer acceptance rate: 48%. Actively open to work; notice period 60 days; prefers hybrid work; expected salary 27.4-47.6 lpa."
